PM10,SO2,CO,O3,NO2,Kategori
55.0,16.0,17.0,132.0,13.0,tidak sehat
62.0,37.0,22.0,167.0,15.0,tidak sehat
51.0,19.0,15.0,173.0,8.0,tidak sehat
53.0,15.0,15.0,108.0,24.0,tidak sehat
74.0,44.0,25.0,113.0,17.0,tidak sehat
59.0,18.0,17.0,117.0,10.0,tidak sehat
50.0,14.0,18.0,155.0,13.0,tidak sehat
62.0,17.0,18.0,109.0,12.0,tidak sehat
54.0,16.0,16.0,164.0,11.0,tidak sehat
27.0,22.0,20.0,130.0,13.0,tidak sehat
43.0,20.0,18.0,129.0,9.0,tidak sehat
37.0,21.0,19.0,122.0,9.0,tidak sehat
21.0,17.0,12.0,126.0,7.0,tidak sehat
49.0,17.0,10.0,109.0,7.0,tidak sehat
51.6,18.0,10.0,126.0,6.0,tidak sehat
58.0,18.0,10.0,122.0,5.0,tidak sehat
62.0,17.0,14.0,113.0,7.0,tidak sehat
68.0,19.0,16.0,124.0,6.0,tidak sehat
59.0,23.0,18.0,133.0,10.0,tidak sehat
101.0,23.0,16.0,129.0,10.0,tidak sehat
57.0,23.0,13.0,108.0,10.0,tidak sehat
74.0,26.0,19.0,104.0,11.0,tidak sehat
65.0,27.0,19.0,107.0,8.0,tidak sehat
109.0,27.0,13.0,87.0,5.0,tidak sehat
111.0,31.0,25.0,58.0,10.0,tidak sehat
69.0,23.0,13.0,113.0,7.0,tidak sehat
64.0,6.0,103.0,8.0,103.0,tidak sehat
38.0,14.0,15.0,110.0,3.0,tidak sehat
51.0,16.0,23.0,136.0,6.0,tidak sehat
63.0,19.0,20.0,146.0,5.0,tidak sehat
77.0,23.0,28.0,142.0,5.0,tidak sehat
66.0,20.0,23.0,160.0,5.0,tidak sehat
73.0,21.0,17.0,175.0,7.0,tidak sehat
59.0,19.0,16.0,123.0,5.0,tidak sehat
54.0,22.0,16.0,113.0,5.0,tidak sehat
72.0,24.0,32.0,104.0,9.0,tidak sehat
49.0,14.0,19.0,90.0,7.0,sedang
79.0,17.0,28.0,94.0,6.0,sedang
38.0,15.0,16.0,58.0,3.0,sedang
24.0,13.0,19.0,54.0,5.0,sedang
30.0,15.0,19.0,73.0,5.0,sedang
27.0,14.0,19.0,74.0,5.0,sedang
45.0,18.0,22.0,71.0,5.0,sedang
51.0,16.0,21.0,69.0,4.0,sedang
38.0,16.0,19.0,96.0,6.0,sedang
57.0,30.0,8.0,87.0,18.0,sedang
55.0,27.0,6.0,63.0,9.0,sedang
35.0,26.0,12.0,73.0,11.0,sedang
50.0,30.0,15.0,69.0,17.0,sedang
50.0,28.0,10.0,92.0,16.0,sedang
55.0,29.0,12.0,94.0,12.0,sedang
68.0,30.0,14.0,79.0,15.0,sedang
73.0,30.0,18.0,47.0,16.0,sedang
67.0,31.0,16.0,90.0,16.0,sedang
84.0,12.0,8.0,70.0,8.0,sedang
58.0,12.0,4.0,48.0,5.0,sedang
61.0,12.0,13.0,49.0,5.0,sedang
18.0,11.0,2.0,51.0,4.0,sedang
37.0,11.0,12.0,68.0,7.0,sedang
30.0,11.0,6.0,73.0,5.0,sedang
35.0,11.0,8.0,69.0,4.0,sedang
57.0,11.0,3.0,62.0,5.0,sedang
46.0,12.0,3.0,60.0,4.0,sedang
53.0,44.0,16.0,65.0,13.0,sedang
60.0,48.0,12.0,51.0,7.0,sedang
68.0,49.0,15.0,54.2,10.0,sedang
69.0,47.0,16.0,57.4,11.0,sedang
73.0,46.0,16.0,82.0,8.0,sedang
80.0,46.0,23.0,73.2,11.0,sedang
67.0,47.0,14.0,45.0,9.0,sedang
84.0,46.0,23.0,70.6,11.0,sedang
54.0,44.0,16.0,48.6,11.0,sedang
59.0,23.0,39.0,94.0,15.0,sedang
67.0,20.0,52.0,46.0,19.0,sedang
60.0,20.0,44.0,69.0,19.0,sedang
72.0,20.0,48.0,87.0,20.0,sedang
57.0,19.0,39.0,86.0,19.0,sedang
44.0,16.0,32.0,98.0,12.0,sedang
52.0,18.0,39.0,94.0,19.0,sedang
50.0,17.0,33.0,77.0,14.0,sedang
50.0,16.0,40.0,94.0,16.0,sedang
27.0,19.0,24.0,16.0,1.0,baik
10.0,20.0,20.0,31.0,4.0,baik
33.0,20.0,18.0,29.0,2.0,baik
17.0,23.0,17.0,25.0,2.0,baik
27.0,21.0,19.0,31.0,4.0,baik
33.0,21.0,18.0,30.0,3.0,baik
30.0,21.0,22.0,28.0,3.0,baik
28.0,20.0,26.0,25.0,3.0,baik
34.0,21.0,21.0,35.0,3.0,baik
26.0,29.0,10.0,22.0,6.0,baik
24.0,30.0,8.0,35.0,9.0,baik
29.0,26.4,9.0,28.0,19.0,baik
18.0,19.6,9.0,20.0,15.0,baik
20.0,13.0,8.0,37.0,7.0,baik
26.0,13.0,7.0,34.0,6.0,baik
28.0,13.0,7.0,22.0,6.0,baik
19.0,13.0,8.0,25.0,7.0,baik
20.0,13.0,9.0,28.0,7.0,baik
13.0,16.0,6.0,32.0,2.0,baik
19.0,14.4,6.0,31.0,1.0,baik
13.0,16.8,6.0,32.0,2.4,baik
23.0,16.0,8.0,49.0,3.0,baik
17.0,15.0,6.0,30.0,1.0,baik
20.0,15.0,7.0,31.0,3.0,baik
18.0,16.0,6.0,41.0,1.0,baik
17.0,15.0,6.0,27.0,2.4,baik
23.0,15.0,7.0,30.0,2.0,baik
50.0,21.0,14.0,44.0,9.0,baik
39.0,22.0,14.0,32.0,8.0,baik
32.0,22.0,16.0,40.0,9.0,baik
33.0,25.0,9.0,33.0,5.0,baik
27.0,21.0,8.0,39.0,6.0,baik
36.0,21.0,11.0,38.0,9.0,baik
41.0,22.0,11.0,43.0,6.0,baik
37.0,22.0,9.0,39.0,8.0,baik
37.0,21.0,7.0,42.0,4.0,baik
22.0,20.0,28.0,37.0,4.0,baik
26.0,19.0,27.0,30.0,3.0,baik
46.0,25.0,38.0,25.0,10.0,baik
28.0,20.0,31.0,25.0,11.0,baik
30.0,23.0,30.0,26.0,8.0,baik
27.0,19.0,27.0,33.0,6.0,baik
37.0,20.0,31.0,32.0,9.0,baik
37.0,20.0,28.0,35.0,9.0,baik
27.0,20.0,37.0,35.0,10.0,baik
